Run,Event,type1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,type2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
160957,25916229,G,14.3765,2.5610,8.6659,11.1810,9.0364,1.0396,1.2834,-1,G,16.6918,5.0161,7.4480,14.0702,8.9796,1.2313,0.9781,1,3.2468
167807,1168740850,G,11.4222,-4.2448,5.1013,9.2959,6.6364,1.1384,2.2648,-1,T,6.8978,4.6349,-4.8515,1.5965,6.7096,0.2357,-0.8082,1,14.7229
163589,16862554,G,7.9779,3.4753,-3.2244,-6.4158,4.7407,-1.1106,-0.7480,1,G,28.8268,-4.9208,3.2755,28.2140,5.9112,2.2669,2.5543,-1,29.6198
172411,451139926,G,51.7861,3.1916,-13.6000,49.8662,13.9695,1.9847,-1.3403,-1,G,18.1795,-1.9576,9.4612,15.3993,9.6616,1.2457,1.7748,1,24.8384
166895,430134587,G,6.8964,5.1420,3.3193,-3.1766,6.1203,-0.4982,0.5732,-1,G,11.9064,-7.8667,-3.1524,8.3623,8.4748,0.8720,-2.7605,1,17.8662
165617,82227155,G,30.5975,6.5016,4.7093,29.5254,8.0280,2.0135,0.6269,1,G,50.1652,-7.9321,-21.2024,44.7669,22.6376,1.4336,-1.9288,-1,27.0037
165617,155396530,G,11.3100,4.4256,-2.7406,-10.0403,5.2055,-1.4113,-0.5545,1,G,5.9778,-3.9509,1.4949,4.2283,4.2242,0.8821,2.7799,-1,16.2269
167807,1104543644,G,12.9212,-1.1776,5.7657,11.5028,5.8847,1.4232,1.7723,1,G,5.1904,-0.3225,-5.0255,1.2526,5.0359,0.2462,-1.6349,-1,12.7487
165617,162486851,G,22.8691,19.4339,-11.9829,-1.3101,22.8313,-0.0573,-0.5525,1,G,7.1526,6.2318,-3.5089,0.0366,7.1517,0.0051,-0.5128,-1,0.9779
163589,22108207,G,11.5414,2.3254,9.9766,5.3153,10.2440,0.4980,1.3418,1,G,8.6294,1.8864,7.3483,4.1107,7.5866,0.5183,1.3195,-1,0.3409
165617,137290968,G,11.1955,-5.3356,4.0310,-8.9782,6.6872,-1.1042,2.4946,-1,G,12.0162,10.7842,-4.6424,2.5550,11.7410,0.2159,-0.4065,1,21.6209
166895,434976235,G,11.2418,1.7853,2.3846,10.8395,2.9788,2.0032,0.9281,1,G,18.1152,6.5721,7.1708,15.2819,9.7270,1.2336,0.8289,-1,4.2847
166784,66768997,G,16.6395,-11.9497,-11.3982,2.0361,16.5141,0.1230,-2.3798,1,G,22.2140,13.4907,17.5493,-1.8628,22.1355,-0.0841,0.9154,-1,38.3321
163589,29481131,G,7.7058,0.9147,7.6423,0.3559,7.6968,0.0462,1.4517,1,G,12.9952,1.8230,12.6268,2.4706,12.7578,0.1925,1.4274,-1,1.4864
166784,50938521,G,90.2242,82.6014,-1.5517,-36.2631,82.6159,-0.4259,-0.0188,1,G,35.7672,21.7318,-12.8552,25.3329,25.2493,0.8837,-0.5342,-1,68.2746
166784,9612838,G,12.9134,-7.4126,-4.2631,9.6760,8.5510,0.9714,-2.6197,1,G,7.5866,5.5871,4.9887,1.2013,7.4404,0.1597,0.7287,-1,17.2649
163589,10287450,G,7.1194,6.4211,-1.0786,2.8775,6.5111,0.4287,-0.1664,1,G,6.1807,5.7055,-1.2764,2.0020,5.8465,0.3361,-0.2201,-1,0.6938
163340,5873928,G,9.0833,9.0644,0.5032,-0.2832,9.0783,-0.0312,0.0555,1,G,7.0594,-4.8339,1.0530,-5.0348,4.9473,-0.8938,2.9271,-1,14.5599
173692,546488538,G,14.4453,-7.6801,-5.6520,-10.8502,9.5357,-0.9756,-2.5072,1,G,18.6833,6.9567,14.8375,-8.9725,16.3874,-0.5233,1.1324,-1,24.8931
163589,30527145,G,12.2093,-9.8683,-6.4710,-3.1305,11.8007,-0.2623,-2.5612,1,G,7.4815,-5.5687,-4.6518,-1.8195,7.1161,-0.2482,-2.4461,-1,1.0982
163589,49965093,G,23.3558,-0.5973,7.0924,-22.2446,7.1175,-1.8574,1.6548,1,G,27.1302,7.0477,-1.4291,-26.1596,7.1911,-2.0029,-0.2001,-1,11.4973
167807,1146437491,G,9.1246,-6.5282,-2.8960,-5.6784,7.1417,-0.7288,-2.7241,-1,G,8.7023,-7.8766,-1.0755,-3.5386,7.9497,-0.4316,-3.0059,1,3.0947
166701,682718651,G,67.7697,12.3104,4.3570,66.4996,13.0587,2.3304,0.3402,-1,G,10.9343,-6.3193,-5.1877,7.2596,8.1759,0.7999,-2.4542,1,26.7827
160957,86870936,G,7.1246,3.6506,-5.1703,3.2695,6.3292,0.4960,-0.9560,-1,G,8.2987,3.0204,-6.8720,3.5369,7.5065,0.4553,-1.1567,1,1.4250
166895,133166691,G,13.0175,1.1760,-6.0964,-11.4410,6.2087,-1.3710,-1.3802,1,G,8.0145,0.6623,7.9343,0.9107,7.9619,0.1141,1.4875,-1,18.0195
167807,1061042931,G,47.9791,-6.9164,29.4531,37.2379,30.2543,1.0356,1.8014,-1,T,45.6133,-5.7584,26.1593,36.9201,26.7856,1.1253,1.7875,1,2.5959
166033,441257887,G,26.2496,16.2077,17.1740,11.4627,23.6144,0.4681,0.8143,-1,G,18.3982,10.1742,13.2463,7.7138,16.6524,0.4468,0.9159,1,2.0699
166895,129256869,G,7.5016,-5.3214,-0.3175,-5.2768,5.3309,-0.8742,-3.0820,-1,G,9.0536,6.5876,0.0115,-6.2097,6.5074,-0.8404,0.0018,1,11.8507
163589,25728701,G,9.7336,-1.2042,4.6673,8.4556,4.8202,1.3280,1.8233,-1,G,7.6292,2.4014,-5.8173,-4.3112,6.2934,-0.6404,-1.1793,1,16.7790
160957,92598660,G,4.7578,2.2431,-4.1638,0.5064,4.7296,0.1069,-1.0767,-1,G,9.1200,-5.4774,6.4697,3.3621,8.3996,0.3869,2.2735,1,12.7220
163589,12157336,G,11.8519,9.2122,3.3806,-6.6456,9.8129,-0.6339,0.3517,-1,G,5.6035,-3.7776,-2.3972,3.3722,4.4740,0.6961,-2.5761,1,16.2320
165548,252880426,G,9.9935,-3.8553,-5.7576,-7.2004,6.9291,-0.9088,-2.1608,-1,G,6.5931,1.9267,4.4783,-4.4375,4.8752,-0.8164,1.1645,1,11.5897
160957,98896043,G,50.0317,5.1374,7.7271,49.1636,9.2790,2.3693,0.9840,1,G,25.7852,-0.7788,-13.0830,22.2057,13.1062,1.2979,-1.6302,-1,24.6362
160957,186795743,G,6.0783,4.2023,0.6382,-4.3437,4.2505,-0.8968,0.1507,-1,G,8.1044,-5.4902,-1.7600,-5.6947,5.7654,-0.8727,-2.8314,1,9.8723
173692,601306883,G,87.5314,38.2708,-27.1870,73.8779,46.9445,1.2350,-0.6177,-1,G,62.9641,-37.8028,19.5721,46.3934,42.5690,0.9435,2.6639,1,90.1415
173430,185546462,G,7.7238,-0.3538,4.5748,6.2123,4.5884,1.1109,1.6480,-1,G,7.6180,-3.3904,6.4040,-2.3486,7.2461,-0.3187,2.0577,1,9.2677
166895,435931064,G,22.9632,-22.6052,-2.0452,3.4813,22.6975,0.1528,-3.0514,1,G,9.7042,-9.5039,-1.9439,-0.2401,9.7007,-0.0247,-2.9398,-1,3.1220
163589,27959460,G,16.1169,-10.5960,-5.2926,10.9296,11.8443,0.8257,-2.6784,-1,G,27.5203,-12.0386,-14.4934,20.0591,18.8411,0.9264,-2.2639,1,6.3318
166701,683797826,G,9.3481,5.5607,1.4693,-7.3686,5.7515,-1.0669,0.2583,-1,G,7.8351,-5.7973,-1.9521,-4.8947,6.1171,-0.7328,-2.8168,1,12.0243
166033,521121287,G,11.2274,-2.2836,6.0376,-9.1857,6.4550,-1.1513,1.9324,1,G,6.5848,2.1143,-5.3235,-3.2463,5.7279,-0.5401,-1.1927,-1,12.7350
160957,20500470,G,21.2166,-5.5523,7.1887,-19.1736,9.0833,-1.4921,2.2285,-1,T,4.9705,-0.8270,0.7522,4.8420,1.1180,2.1720,2.4035,1,19.4065
163589,6895310,G,12.1524,-1.7879,6.3712,-10.1921,6.6174,-1.2169,1.8444,-1,G,10.8017,1.3496,-10.3006,-2.9563,10.3887,-0.2809,-1.4405,1,18.3950
167807,1070758394,G,7.1639,1.0412,-6.3354,3.1762,6.4204,0.4765,-1.4079,-1,G,7.8898,-1.9463,6.2343,-4.4252,6.5311,-0.6342,1.8734,1,14.9740
